,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,탈퇴여부,연령대,구,동
62,1006313920,정상회원,수지구-동천동,여,40.0,미신청,.,normal,정상,40대,수지구,동천동
63,1006319488,정상회원,수지구-풍덕천동,여,46.0,신청,.,normal,정상,40대,수지구,풍덕천동
64,1006334336,정상회원,수지구-상현동,여,39.0,미신청,.,normal,정상,30대,수지구,상현동
65,1006349184,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,정상,40대,수지구,풍덕천동
66,1006436416,정상회원,수지구-동천동,여,45.0,미신청,.,normal,정상,40대,수지구,동천동
67,1006532928,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,정상,30대,수지구,신봉동
68,1006614592,정상회원,수지구-동천동,여,38.0,미신청,.,normal,정상,30대,수지구,동천동
69,1006670272,정상회원,기타-기타,여,72.0,미신청,.,normal,정상,70대,기타,기타
70,1006712960,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,정상,40대,수지구,풍덕천동
71,1006891136,정상회원,수지구-동천동,여,47.0,미신청,.,normal,정상,40대,수지구,동천동
72,1006917120,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,정상,60대,수지구,풍덕천동
73,1006998784,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
74,1007015488,정상회원,기흥구-보정동,여,54.0,신청,.,normal,정상,50대,기흥구,보정동
75,1007212224,정상회원,수지구-풍덕천동,여,34.0,미신청,.,normal,정상,30대,수지구,풍덕천동
76,1007219648,정상회원,수지구-성복동,여,51.0,미신청,.,normal,정상,50대,수지구,성복동
77,1007247488,정상회원,수지구-상현동,여,39.0,미신청,.,normal,정상,30대,수지구,상현동
78,1007314304,정상회원,수지구-동천동,여,38.0,신청,.,normal,정상,30대,수지구,동천동
79,1007576000,정상회원,수지구-상현동,여,42.0,미신청,.,normal,정상,40대,수지구,상현동
80,1007739328,정상회원,수지구-동천동,여,56.0,미신청,.,normal,정상,50대,수지구,동천동
81,1007817280,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,정상,40대,수지구,풍덕천동
82,1007820992,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,정상,40대,수지구,풍덕천동
83,1007830272,정상회원,수지구-신봉동,여,56.0,미신청,.,normal,정상,50대,수지구,신봉동
84,1007880384,정상회원,수지구-상현동,여,41.0,미신청,.,normal,정상,40대,수지구,상현동
85,1008056704,정상회원,수지구-상현동,여,42.0,미신청,.,normal,정상,40대,수지구,상현동
86,1008080832,정상회원,수지구-동천동,여,63.0,미신청,.,normal,정상,60대,수지구,동천동
87,1008082688,정상회원,수지구-동천동,여,46.0,미신청,.,normal,정상,40대,수지구,동천동
88,1008116096,정상회원,수지구-상현동,여,62.0,미신청,.,normal,정상,60대,수지구,상현동
89,1008201472,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,정상,40대,수지구,풍덕천동
90,1008335104,정상회원,분당구-구미동,여,51.0,미신청,.,normal,정상,50대,분당구,구미동
91,1008370368,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,정상,50대,수지구,풍덕천동
92,1008511424,정상회원,수지구-동천동,여,46.0,미신청,수신,normal,정상,40대,수지구,동천동
93,1008613504,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,정상,30대,수지구,풍덕천동
94,1008698880,정상회원,수원 영통구-기타,여,40.0,미신청,.,normal,정상,40대,수원 영통구,기타
95,1008719296,정상회원,수원 영통구-기타,여,44.0,미신청,.,normal,정상,40대,수원 영통구,기타
96,1008748992,정상회원,수지구-동천동,여,52.0,미신청,.,normal,정상,50대,수지구,동천동
97,1008800960,정상회원,수지구-동천동,여,49.0,미신청,.,normal,정상,40대,수지구,동천동
98,1008955008,정상회원,수지구-성복동,여,42.0,신청,.,normal,정상,40대,수지구,성복동
99,1009040384,정상회원,수지구-동천동,여,60.0,미신청,.,normal,정상,60대,수지구,동천동
100,1009066368,정상회원,기흥구-보정동,여,52.0,미신청,.,normal,정상,50대,기흥구,보정동
101,100932992,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,정상,50대,수지구,풍덕천동
102,1009355904,정상회원,수지구-신봉동,여,37.0,미신청,수신,normal,정상,30대,수지구,신봉동
103,1009381888,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,정상,40대,수지구,풍덕천동
104,1009406016,정상회원,기흥구-청덕동,남,51.0,미신청,.,normal,정상,50대,기흥구,청덕동
105,1009480256,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,정상,50대,수지구,풍덕천동
106,1009495104,정상회원,수지구-동천동,여,45.0,미신청,.,normal,정상,40대,수지구,동천동
107,1009508096,정상회원,수지구-동천동,여,51.0,미신청,.,normal,정상,50대,수지구,동천동
108,100955264,정상회원,수지구-풍덕천동,여,85.0,미신청,.,normal,정상,80대,수지구,풍덕천동
109,1009565632,정상회원,서울 강남구-기타,여,67.0,미신청,.,normal,정상,60대,서울 강남구,기타
110,1009641728,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,정상,40대,수지구,풍덕천동
111,1009671424,정상회원,기흥구-보정동,여,38.0,미신청,.,normal,정상,30대,기흥구,보정동
112,1009959104,정상회원,수지구-동천동,여,30.0,미신청,.,normal,정상,30대,수지구,동천동
113,1010090880,정상회원,수지구-풍덕천동,여,42.0,미신청,수신,normal,정상,40대,수지구,풍덕천동
114,101010944,정상회원,수원 팔달구-기타,여,69.0,미신청,.,normal,정상,60대,수원 팔달구,기타
115,1010144704,정상회원,수지구-신봉동,남,77.0,미신청,.,normal,정상,70대,수지구,신봉동
116,1010334016,정상회원,기타-기타,여,61.0,미신청,.,normal,정상,60대,기타,기타
117,101035072,정상회원,수지구-성복동,여,46.0,미신청,.,normal,정상,40대,수지구,성복동
118,1010391552,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,정상,40대,수지구,풍덕천동
